29.004309,A,idle
29.004312,E,slurping,0
29.004326,A,slurping,1
29.004333,K,idle
29.004343,K,slurping,2
29.013736,D,swallowing
29.013756,I,idle
29.013776,I,slurping,0
29.013828,G,idle
29.013840,G,slurping,1
30.004276,C,swallowing
30.004292,B,idle
30.004331,B,slurping,2
30.004341,H,idle
30.004355,H,slurping,0
30.004360,E,swallowing
30.004366,J,idle
30.004389,J,slurping,1
30.004396,K,swallowing
30.004403,A,swallowing
30.004438,F,idle
30.004458,F,slurping,2
30.013814,D,idle
30.013822,I,swallowing
30.013829,D,slurping,0
30.013907,G,swallowing
31.004373,C,idle
31.004412,C,slurping,1
31.004438,B,swallowing
31.004449,H,swallowing
31.004457,E,idle
31.004471,J,swallowing
31.004479,E,slurping,2
31.004482,A,idle
31.004486,K,idle
31.004496,K,slurping,1
31.004507,A,slurping,0
31.004570,F,swallowing
31.013906,I,idle
31.013931,D,swallowing
31.013974,G,idle
31.013992,I,slurping,2
31.014035,G,slurping,0
32.004515,C,swallowing
32.004533,B,idle
32.004551,E,swallowing
32.004569,B,slurping,1
32.004574,K,swallowing
32.004578,H,idle
32.004582,J,idle
32.004589,H,slurping,2
32.004604,J,slurping,0
32.004611,A,swallowing
32.004645,F,idle
32.004659,F,slurping,1
32.014016,D,idle
32.014040,D,slurping,2
32.014064,I,swallowing
32.014107,G,swallowing
33.004644,E,idle
33.004671,K,idle
33.004675,B,swallowing
33.004691,J,swallowing
33.004694,H,swallowing
33.004700,A,idle
33.004719,A,slurping,2
33.004729,C,idle
33.004747,F,swallowing
33.004756,C,slurping,0
33.004774,E,slurping,0
33.004788,K,slurping,1
33.014131,I,idle
33.014144,D,swallowing
33.014149,I,slurping,1
33.014184,G,idle
33.014201,G,slurping,2
34.004794,H,idle
34.004836,H,slurping,0
34.004855,E,swallowing
34.004903,F,idle
34.004920,F,slurping,1
34.004933,A,swallowing
34.004943,B,idle
34.004954,C,swallowing
34.004956,B,slurping,2
34.004963,K,swallowing
34.004970,J,idle
34.004980,J,slurping,0
34.014218,D,idle
34.014236,D,slurping,1
34.014248,I,swallowing
34.014255,G,swallowing
35.004937,H,swallowing
35.004969,E,idle
35.005013,E,slurping,2
35.005023,F,swallowing
35.005032,A,idle
35.005038,K,idle
35.005052,A,slurping,0
35.005062,K,slurping,1
35.005064,J,swallowing
35.005070,C,idle
35.005089,C,slurping,2
35.005131,B,swallowing
35.014349,D,swallowing
35.014395,I,idle
35.014419,I,slurping,0
35.014431,G,idle
35.014442,G,slurping,1
36.005035,H,idle
36.005067,H,slurping,2
36.005119,E,swallowing
36.005129,F,idle
36.005139,K,swallowing
36.005148,C,swallowing
36.005153,F,slurping,0
36.005160,A,swallowing
36.005163,J,idle
36.005186,J,slurping,1
36.005256,B,idle
36.005266,B,slurping,2
36.014436,D,idle
36.014456,D,slurping,0
36.014492,I,swallowing
36.014514,G,swallowing
37.005168,H,swallowing
37.005212,E,idle
37.005246,K,idle
37.005261,A,idle
37.005289,A,slurping,0
37.005300,F,swallowing
37.005309,E,slurping,1
37.005330,B,swallowing
37.005337,C,idle
37.005347,C,slurping,1
37.005354,J,swallowing
37.005359,K,slurping,2
37.014537,D,swallowing
37.014558,I,idle
37.014580,I,slurping,2
37.014588,G,idle
37.014600,G,slurping,0
38.005269,H,idle
38.005301,H,slurping,1
38.005378,A,swallowing
38.005387,F,idle
38.005407,F,slurping,2
38.005413,E,swallowing
38.005425,B,idle
38.005442,B,slurping,0
38.005450,C,swallowing
38.005457,J,idle
38.005476,J,sulking
38.005487,K,swallowing
38.014627,D,idle
38.014648,D,slurping,0
38.014662,I,swallowing
38.014676,G,swallowing
39.005424,H,swallowing
39.005473,A,idle
39.005479,F,swallowing
39.005489,E,idle
39.005496,A,slurping,1
39.005535,E,slurping,2
39.005543,B,swallowing
39.005551,C,idle
39.005564,C,slurping,0
39.005572,K,idle
39.005594,K,slurping,1
39.014730,D,swallowing
39.014776,I,idle
39.014791,I,slurping,2
39.014799,G,idle
39.014813,G,slurping,0
40.005537,H,idle
40.005567,H,slurping,1
40.005568,F,idle
40.005597,F,slurping,2
40.005605,A,swallowing
40.005617,B,idle
40.005638,B,slurping,0
40.005646,C,swallowing
40.005658,K,swallowing
40.005670,E,swallowing
40.014819,D,idle
40.014837,D,slurping,1
40.014865,I,swallowing
40.014880,G,swallowing
41.005659,H,swallowing
41.005698,F,swallowing
41.005709,A,idle
41.005715,B,swallowing
41.005723,C,idle
41.005735,A,slurping,2
41.005745,C,slurping,0
41.005752,K,idle
41.005769,K,slurping,1
41.005775,E,idle
41.005785,E,slurping,2
41.014918,D,swallowing
41.014930,G,idle
41.014946,I,idle
41.014963,I,slurping,1
41.014972,G,slurping,0
42.005589,J,idle
42.005625,J,slurping,2
42.005789,H,idle
42.005794,C,swallowing
42.005801,K,swallowing
42.005809,F,idle
42.005813,H,slurping,0
42.005827,A,swallowing
42.005835,F,slurping,1
42.005850,B,idle
42.005868,E,swallowing
42.005923,B,slurping,0
42.014999,D,idle
42.015019,D,slurping,1
42.015052,I,swallowing
42.015064,G,swallowing
43.005728,J,swallowing
43.005893,K,idle
43.005917,F,swallowing
43.005920,H,swallowing
43.005939,A,idle
43.005922,C,idle
43.005950,A,slurping,0
43.005972,C,slurping,1
43.005978,E,idle
43.005992,E,slurping,2
43.006013,B,swallowing
43.006022,K,slurping,2
43.015107,D,swallowing
43.015135,I,idle
43.015148,G,idle
43.015151,I,slurping,0
43.015172,G,slurping,1
44.005824,J,idle
44.005855,J,slurping,2
44.005996,F,idle
44.006023,C,swallowing
44.006031,F,slurping,0
44.006036,H,idle
44.006052,A,swallowing
44.006075,H,slurping,1
44.006089,E,swallowing
44.006094,B,idle
44.006097,K,swallowing
44.006107,B,slurping,2
44.015193,D,idle
44.015213,D,slurping,0
44.015225,I,swallowing
44.015263,G,swallowing
45.005951,J,swallowing
45.006116,F,swallowing
45.006135,A,idle
45.006136,H,swallowing
45.006149,C,idle
45.006155,A,slurping,1
45.006171,C,slurping,2
45.006180,B,swallowing
45.006181,K,idle
45.006199,K,slurping,0
45.006205,E,idle
45.006222,E,slurping,1
45.015286,D,swallowing
45.015301,I,idle
45.015317,I,slurping,2
45.015325,G,idle
45.015346,G,slurping,0
46.006045,J,idle
46.006079,J,slurping,1
46.006199,H,idle
46.006226,F,idle
46.006228,C,swallowing
46.006236,A,swallowing
46.006242,B,idle
46.006248,F,slurping,0
46.006274,K,swallowing
46.006281,E,swallowing
46.006303,B,slurping,2
46.006364,H,slurping,2
46.015356,D,idle
46.015372,D,slurping,0
46.015393,I,swallowing
46.015453,G,swallowing
47.006193,J,swallowing
47.006343,C,idle
47.006348,F,swallowing
47.006366,K,idle
47.006373,A,idle
47.006387,A,slurping,0
47.006389,E,idle
47.006397,C,slurping,1
47.006403,E,slurping,1
47.006410,B,swallowing
47.006439,H,swallowing
47.006475,K,slurping,2
47.015449,D,swallowing
47.015464,I,idle
47.015479,I,slurping,2
47.015525,G,idle
47.015550,G,slurping,0
48.006295,J,idle
48.006327,J,slurping,1
48.006435,F,idle
48.006474,A,swallowing
48.006483,E,swallowing
48.006487,F,slurping,2
48.006491,B,idle
48.006509,C,swallowing
48.006519,B,slurping,0
48.006543,K,swallowing
48.006555,H,idle
48.006574,H,slurping,1
48.015542,D,idle
48.015565,I,swallowing
48.015591,D,slurping,2
48.015618,G,swallowing
49.006446,J,swallowing
49.006586,A,idle
49.006599,F,swallowing
49.006609,C,idle
49.006631,C,slurping,1
49.006659,H,swallowing
49.006674,A,slurping,0
49.006684,B,swallowing
49.006690,K,idle
49.006697,E,idle
49.006709,E,slurping,0
49.006715,K,slurping,2
49.015661,I,idle
49.015679,I,slurping,1
49.015691,D,swallowing
49.015704,G,idle
49.015721,G,slurping,2
50.006555,J,idle
50.006589,J,slurping,0
50.006684,F,idle
50.006703,C,swallowing
